"old_url","new_url","status","notes"
"https://www.jeremypenn.com/","https://jeremypennart.com/","301/308","Launch conflict: jeremypenn.com homepage cannot both redirect to art and serve the new creative homepage. Do not add a domain-wide .com to art redirect."
"https://www.jeremypenn.com/galleries","https://jeremypennart.com/galleries","301/308","Preserve path on jeremypennart.com."
"https://www.jeremypenn.com/installs","https://jeremypennart.com/installs","301/308","Preserve path on jeremypennart.com."
"https://www.jeremypenn.com/about","https://jeremypennart.com/about","301/308","Preserve path on jeremypennart.com."
"https://www.jeremypenn.com/contact","https://jeremypennart.com/contact","301/308","Preserve path on jeremypennart.com."
"https://www.jeremypenn.com/sunsets","https://jeremypennart.com/sunsets","301/308","Preserve path on jeremypennart.com."
"https://www.jeremypenn.com/sunsets/september-sunset","https://jeremypennart.com/sunsets/september-sunset","301/308","Preserve path on jeremypennart.com."
"https://www.jeremypenn.com/sunsets/august-sunset","https://jeremypennart.com/sunsets/august-sunset","301/308","Preserve path on jeremypennart.com."
"https://www.jeremypenn.com/sunsets/july-sunset","https://jeremypennart.com/sunsets/july-sunset","301/308","Preserve path on jeremypennart.com."
"https://www.jeremypenn.com/sunsets/june-sunset","https://jeremypennart.com/sunsets/june-sunset","301/308","Preserve path on jeremypennart.com."
"https://www.jeremypenn.com/sunsets/may-sunset","https://jeremypennart.com/sunsets/may-sunset","301/308","Preserve path on jeremypennart.com."
"https://www.jeremypenn.com/sunsets/april-sunset","https://jeremypennart.com/sunsets/april-sunset","301/308","Preserve path on jeremypennart.com."
"https://www.jeremypenn.com/sunsets/march-sunset","https://jeremypennart.com/sunsets/march-sunset","301/308","Preserve path on jeremypennart.com."
"https://www.jeremypenn.com/beauty-in-the-breakdown","https://jeremypennart.com/beauty-in-the-breakdown","301/308","Preserve path on jeremypennart.com."
"https://www.jeremypenn.com/beauty-in-the-breakdown/into-abstraction-1","https://jeremypennart.com/beauty-in-the-breakdown/into-abstraction-1","301/308","Preserve path on jeremypennart.com."
"https://www.jeremypenn.com/beauty-in-the-breakdown/into-abstraction-2","https://jeremypennart.com/beauty-in-the-breakdown/into-abstraction-2","301/308","Preserve path on jeremypennart.com."
"https://www.jeremypenn.com/beauty-in-the-breakdown/street-poetry","https://jeremypennart.com/beauty-in-the-breakdown/street-poetry","301/308","Preserve path on jeremypennart.com."
"https://www.jeremypenn.com/beauty-in-the-breakdown/self-love","https://jeremypennart.com/beauty-in-the-breakdown/self-love","301/308","Preserve path on jeremypennart.com."
"https://www.jeremypenn.com/beauty-in-the-breakdown/love-in-color","https://jeremypennart.com/beauty-in-the-breakdown/love-in-color","301/308","Preserve path on jeremypennart.com."
"https://www.jeremypenn.com/beauty-in-the-breakdown/lift-the-clouds-of-the-past","https://jeremypennart.com/beauty-in-the-breakdown/lift-the-clouds-of-the-past","301/308","Preserve path on jeremypennart.com."
"https://www.jeremypenn.com/beauty-in-the-breakdown/eyes-of-seduction","https://jeremypennart.com/beauty-in-the-breakdown/eyes-of-seduction","301/308","Preserve path on jeremypennart.com."
"https://www.jeremypenn.com/beauty-in-the-breakdown/fragments-2","https://jeremypennart.com/beauty-in-the-breakdown/fragments-2","301/308","Preserve path on jeremypennart.com."
"https://www.jeremypenn.com/beauty-in-the-breakdown/fragments-1","https://jeremypennart.com/beauty-in-the-breakdown/fragments-1","301/308","Preserve path on jeremypennart.com."
"https://www.jeremypenn.com/hotlips","https://jeremypennart.com/hotlips","301/308","Preserve path on jeremypennart.com."
"https://www.jeremypenn.com/hotlips/hot-lips-color-crash","https://jeremypennart.com/hotlips/hot-lips-color-crash","301/308","Preserve path on jeremypennart.com."
"https://www.jeremypenn.com/hotlips/hot-lips-sunset","https://jeremypennart.com/hotlips/hot-lips-sunset","301/308","Preserve path on jeremypennart.com."
"https://www.jeremypenn.com/hotlips/hot-lips-excursion","https://jeremypennart.com/hotlips/hot-lips-excursion","301/308","Preserve path on jeremypennart.com."
"https://www.jeremypenn.com/hotlips/hot-lips-elevate","https://jeremypennart.com/hotlips/hot-lips-elevate","301/308","Preserve path on jeremypennart.com."
"https://www.jeremypenn.com/hotlips/hot-lips-drift","https://jeremypennart.com/hotlips/hot-lips-drift","301/308","Preserve path on jeremypennart.com."
"https://www.jeremypenn.com/hotlips/hot-lips-je-t-aime","https://jeremypennart.com/hotlips/hot-lips-je-t-aime","301/308","Preserve path on jeremypennart.com."
"https://www.jeremypenn.com/hotlips/hot-lips-double-vision","https://jeremypennart.com/hotlips/hot-lips-double-vision","301/308","Preserve path on jeremypennart.com."
"https://www.jeremypenn.com/hotlips/hot-lips-wave","https://jeremypennart.com/hotlips/hot-lips-wave","301/308","Preserve path on jeremypennart.com."
